Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
Drywall,,,,,,,,Medium Cherry/Metallic Gray,USDA Certified Biobased 26%,,,,,,Dust,4000530677037,,,,,238.44 cm,,,,CLE-36PCSM,,,,,,,,,PT/CF/5935/305,,,036000095517,,51.00 g,,
Plastic,,,,,,,,Red-blue,USDA Certified Biobased 95%,,,,,,Fingerprints,4000530588968,,,,,241.00 cm,,,,FRA-104-1070,,,,,,,,,CF/PTC/5776/399,,,848412011975,,51.25 g,,
Vinyl,,,,,,,,Starfire Beige,Meets0ASTM Standards D6400 and D6868 for Compostability,,,,,,Scratches,4004633286486,,,,,243.84 cm,,,,JOH-CS-1472,,,,,,,,,G6905 SCI XXL CLST,,,073310210001,,51.5 g,,
Ceramic Tile,,,,,,,,Indigo and White,Green Seal Certified,,,,,,Scuffs,4055432154353,,,,,253.37 cm,,,,EAG-QA1842S,,,,,,,,,PTC/CF6473/626,,,086876180701,,51.59 g,,
Formica,,,,,,,,Silver-Black,BS EN 50085-1:2005,,,,,,Dust,4006932730981,,,,,259.99 cm,,,,SYR-987659391,,,,,,,,,PTC/CF/3091/707,,,086876173055,,51.79 g,,
Glass,,,,,,,,Blue0,,,,,,,Soil,4006932670164,,,,,274.32 cm,,,,ALT-ED2-72-P-SS,,,,,,,,,,,,745123345651,,52.00 g,,
Plastic,,,,,,,,pink,,,,,,,Wax,4004633124160,,,,,2,,,,ADV-94-3-54-24R,,,,,,,,,,,,034238888475,,52.03 g,,
Stainless Steel,,,,,,,,white,,,,,,,Soil,4000530463142,,,,,540.00 cm,,,,ELK-SL3C20X20-L-20,,,,,,,,,,,,073577134621,,52.1 g,,
Ceramics,,,,,,,,Sherwood Green,,,,,,,Stain,4000530668486,,,,,5,,,,DEL-N-1530,,,,,,,,,,,,076455234024,,52.26 g,,
Enamel,,,,,,,,White0,,,,,,,Bacteria,4000530684103,,,,,080.00 cm,,,,MRS-STD2108-3EHS-PW,,,,,,,,,,,,042167200282,,52.49 g,,
Glass,,,,,,,,motley,,,,,,,Fungus,4000530658708,,,,,10,,,,ELK-SL3C18X30-R-24,,,,,,,,,,,,079594184205,,52.5 g,,
Metal,,,,,,,,stainless steel,,,,,,,Germs,4004633181743,,,,,160.00 cm,,,,RUB-FG757088YEL,,,,,,,,,,,,073555560305,,53.00 g,,
Plastic,,,,,,,,pink,,,,,,,Grease,4004633232728,,,,,14,,,,EAG-UT2496GTE,,,,,,,,,,,,760771815165,,53.3 g,,
Ceramics,,,,,,,,Burgundy Fade,,,,,,,Grime,4211129119450,,,,,130.02 cm,,,,GAR-SS-CS24-18,,,,,,,,,,,,749384002896,,53.4 g,,
Fiberglass,,,,,,,,White & Red Pattern,,,,,,,Mildew,4000530640024,,,,,20,,,,JOH-S14111,,,,,,,,,,,,042167960292,,53.57 g,,
Glass,,,,,,,,Real Rust,,,,,,,Mineral Scale,4004633257646,,,,,320.00 cm,,,,ADV-TSS-489,,,,,,,,,,,,073310292908,,53.79 g,,
Metal,,,,,,,,Mauve,,,,,,,Organic Matter,4004633257608,,,,,35,,,,ADV-TFMS-363,,,,,,,,,,,,827180540368,,54.00 g,,
Plastic,,,,,,,,Hansen Cherry,,,,,,,Soap Scum,4000530583024,,,,,877.50 cm,,,,EAG-MR45-18,,,,,,,,,,,,707282222020,,54.88 g,,
Stainless Steel,,,,,,,,Light Yellow0,,,,,,,Water-Based Soil,4004633252146,,,,,45,,,,TUX-TSC-036,,,,,,,,,,,,749507986669,,55.29 g,,
Wood,,,,,,,,Latte,,,,,,,Allergens,4000530471819,,,,,720.00 cm,,,,FOR-40552,,,,,,,,,,,,759376133408,,55.5 g,,
Hard Nonporous Surfaces,,,,,,,,Light Elm,,,,,,,Dust,3660218963589,,,,,,,,,KRO-KR21-S24,,,,,,,,,,,,888120014165,,55.56 g,,
Hard,,,,,,,,Black & Silver,,,,,,,Dust Mites,4211129116268,,,,,,,,,EAG-S3-5B-SSW1848C,,,,,,,,,,,,717641900834,,55.6 g,,
Nonporous Surfaces,,,,,,,,Lime/Charcoal,,,,,,,Hair,0636430045726,,,,,,,,,WCU-A1736215,,,,,,,,,,,,853971002630,,55.85 g,,
Ceramic,,,,,,,,Colorful,,,,,,,Pet Dander,4006932659213,,,,,,,,,WCU-11114-32,,,,,,,,,,,,086876191493,,56.00 g,,
Glass,,,,,,,,Blue and White,,,,,,,Bacteria,4006932769660,,,,,,,,,SVD-95-1200-9,,,,,,,,,,,,076795200819,,56.01 g,,
Plastic,,,,,,,,Black / Solid Stone,,,,,,,Dust,4004633279501,,,,,,,,,DOY-BTF020F,,,,,,,,,,,,887530001215,,56.06 g,,
Stainless Steel,,,,,,,,Black,,,,,,,Germs,4000530647399,,,,,,,,,JOH-WAL-CCB183-S,,,,,,,,,,,,086876147599,,56.22 g,,
Ceramics,,,,,,,,Swirl Gray,,,,,,,Grease,4055432145146,,,,,,,,,GET-207-5-TD,,,,,,,,,,,,073555963625,,56.24 g,,
Enamel,,,,,,,,Cherry Red,,,,,,,Grime,4000530677365,,,,,,,,,EAG-OUR-1824-2-SR,,,,,,,,,,,,078731903259,,56.25 g,,
Fiberglass,,,,,,,,Stainless,,,,,,,Viruses,4000530543851,,,,,,,,,EAG-SDHT3-240,,,,,,,,,,,,674785552742,,56.34 g,,
Glass,,,,,,,,Clear/Silver,,,,,,,Water-Based Soil,8717399102551,,,,,,,,,MRS-PH12108-2UG-PW,,,,,,,,,,,,043859559206,,56.4 g,,
Laminates,,,,,,,,Black,,,,,,,Dirt,4000530675927,,,,,,,,,JOH-L011-O,,,,,,,,,,,,073286610546,,56.44 g,,
Metal,,,,,,,,Silver,,,,,,,Soil,4000530687876,,,,,,,,,JOR-91225,,,,,,,,,,,,723783200015,,56.66 g,,
Plaster,,,,,,,,20x20 Sage,,,,,,,Grease,4006932621111,,,,,,,,,MIC-6502-C,,,,,,,,,,,,762935010065,,56.98 g,,
Plastic,,,,,,,,Royal blue,,,,,,,Liquid,4015625992537,,,,,,,,,ACC-S32403D130-SGL,,,,,,,,,,,,035349238562,,57.00 g,,
Vinyl,,,,,,,,Natural,,,,,,,Oil,4000530656728,,,,,,,,,CRC-2-335-GR2,,,,,,,,,,,,036000329926,,57.05 g,,
Brick,,,,,,,,Olive,,,,,,,Bacteria,8016012453972,,,,,,,,,TOW-31815,,,,,,,,,,,,016194050301,,57.5 g,,
Cement,,,,,,,,Cream and Gold,,,,,,,Germs,4000530528841,,,,,,,,,INS-SS-75-12A-MRS,,,,,,,,,,,,817939007358,,57.56 g,,
Ceramics,,,,,,,,Parchment Gold,,,,,,,Soil,4000530654571,,,,,,,,,EAG-CDTR-36-16-4-X,,,,,,,,,,,,807174504309,,57.66 g,,
Concrete,,,,,,,,Orange & Black,,,,,,,Bacteria,4006932621289,,,,,,,,,JOH-KCT61-V,,,,,,,,,,,,086876191523,,57.8 g,,
Enamel,,,,,,,,Black Cabinet with Stainless Steel Door,,,,,,,Dust,4000530663313,,,,,,,,,ADV-VCTF-245,,,,,,,,,,,,050505129928,,57.82 g,,
Fiberglass,,,,,,,,Natural,,,,,,,Fungus,4004633066521,,,,,,,,,ADV-PS-12-120,,,,,,,,,,,,070158008258,,57.96 g,,
Finished/Sealed Wood,,,,,,,,Lime Green,,,,,,,Germs,4000530637628,,,,,,,,,JOH-SBO-G04,,,,,,,,,,,,086876213539,,58.25 g,,
Glass,,,,,,,,Tomato,,,,,,,Grease,4006932647814,,,,,,,,,SVD-DI-1522-5,,,,,,,,,,,,631530495440,,58.3 g,,
Laminates,,,,,,,,Red,,,,,,,Grime,4006932612669,,,,,,,,,EQU-PVC-400,,,,,,,,,,,,089191508823,,58.46 g,,
Metal,,,,,,,,Burnt Brown,,,,,,,Mildew,4000530639356,,,,,,,,,MRS-HV272-2WG-SS,,,,,,,,,,,,050505150168,,58.61 g,,
Plaster,,,,,,,,Dark Green,,,,,,,Mineral Scale,4004633286226,,,,,,,,,CIG-E6140,,,,,,,,,,,,037000848776,,58.86 g,,
Plastic,,,,,,,,Turquoise,,,,,,,Mold,4000530576286,,,,,,,,,INS-SS-100-12C-MRS,,,,,,,,,,,,013700812408,,58.96696 g,,
Vinyl,,,,,,,,White,,,,,,,Rust,4000530149305,,,,,,,,,ALT-ED2-96-PR-C,,,,,,,,,,,,071503201980,,59.00 g,,
Chrome,,,,,,,,Lemon Yellow,,,,,,,Soap Scum,4004633262138,,,,,,,,,CAM-BR578414,,,,,,,,,,,,560375099639,,59.01 g,,
Glass,,,,,,,,Royal Blue,,,,,,,Soil,7332543384617,,,,,,,,,COC-11301B,,,,,,,,,,,,640624307415,,59.19 g,,
Metal,,,,,,,,Deep Red,,,,,,,Body Oils,7332543402717,,,,,,,,,FRA-225-5002,,,,,,,,,,,,645162580238,,59.26 g,,
Plastic,,,,,,,,White/Blue,,,,,,,Dust,4000530677068,,,,,,,,,ADV-TS-12-144,,,,,,,,,,,,042167924188,,59.28 g,,
Stainless Steel,,,,,,,,Ebony and Spice Wood,,,,,,,Fingerprints,4000530663429,,,,,,,,,ADV-EB-SS-365M,,,,,,,,,,,,098241141002,,59.3 g,,
Vinyl,,,,,,,,Pepper Print,,,,,,,Smudges,4006932647678,,,,,,,,,MAY-DLSTAT42RD,,,,,,,,,,,,034138201091,,59.84 g,,
Wood,,,,,,,,Available in 18 colors,,,,,,,Soil,�4000530677433,,,,,,,,,ELK-BWMS-10-48,,,,,,,,,,,,762935902049,,59.85 g,,
Concrete and Ceramic Floors,,,,,,,,Light Amber,,,,,,,Bacteria,,,,,,,,,,INT-C565-SFS-UPFS,,,,,,,,,,,,078541047099,,59.97 g,,
Counters,,,,,,,,Linen,,,,,,,Germs,,,,,,,,,,JOH-P1080N,,,,,,,,,,,,641128720571,,60.00 g,,
Engines,,,,,,,,red,,,,,,,Grime,,,,,,,,,,MRS-HV2120-2ZG-OB,,,,,,,,,,,,038944780696,,60.01 g,,
Grills,,,,,,,,yellow,,,,,,,Mildew,,,,,,,,,,VOL-38105,,,,,,,,,,,,763905020930,,60.1 g,,
Grinders,,,,,,,,Espresso/Rustic Medium Oak,,,,,,,Mineral Scale,,,,,,,,,,PSF-REV2496MX-SQ,,,,,,,,,,,,073852021158,,60.48 g,,
Hoods,,,,,,,,Mushroom Brown,,,,,,,Mold,,,,,,,,,,ADV-VKS-3612,,,,,,,,,,,,085806440403,,60.5 g,,
Machinery and Tools,,,,,,,,Earthen Gold,,,,,,,Organic Matter,,,,,,,,,,JOH-P1081,,,,,,,,,,,,098241052117,,60.7 g,,
Refrigerators,,,,,,,,Grass Mat,,,,,,,Rust,,,,,,,,,,GLT-GDU-24X102,,,,,,,,,,,,863691609835,,60.78 g,,
Tables,,,,,,,,Batman,,,,,,,Soil,,,,,,,,,,CAR-10480-813,,,,,,,,,,,,641128736824,,60.8 g,,
Acetate,,,,,,,,Off-white,,,,,,,Stains,,,,,,,,,,EAG-T48144SE,,,,,,,,,,,,759376129401,,60.85 g,,
Balsa,,,,,,,,Two-Tone Tan,,,,,,,Dirt,,,,,,,,,,MRS-HV260-1ZG-BG,,,,,,,,,,,,036000213201,,61.2 g,,
Cloth,,,,,,,,Cotton is Natural; Polyester is Bright White. Stand is natural golden color.,,,,,,,Dust,,,,,,,,,,EAG-T4872STE,,,,,,,,,,,,074405009715,,61.4 g,,
Film,,,,,,,,Black wood with white matte.,,,,,,,Grease,,,,,,,,,,ELK-WT36S96-STS,,,,,,,,,,,,011171034817,,61.6 g,,
Paper,,,,,,,,Dusty Blue,,,,,,,ingerprints,,,,,,,,,,MES-BEL30A,,,,,,,,,,,,030615180026,,61.76 g,,
Plastic,,,,,,,,Tan,,,,,,,Smudges,,,,,,,,,,KOL-P6-612-FS,,,,,,,,,,,,086876220568,,62.00 g,,
Thin Metal,,,,,,,,Yellow,,,,,,,Bacteria,,,,,,,,,,GET-B-525-PK,,,,,,,,,,,,041215250019,,62.66 g,,
Ceramics,,,,,,,,Red,,,,,,,Dust,,,,,,,,,,ONE-E3300000168,,,,,,,,,,,,021196033801,,62.75 g,,
Enamel,,,,,,,,Green,,,,,,,Fungus,,,,,,,,,,ONE-F1560013144,,,,,,,,,,,,087547081730,,62.8 g,,
Fiberglass,,,,,,,,Hansen Cherry/Graphite Gray,,,,,,,Germs,,,,,,,,,,MRS-STD2108-3XD-BG,,,,,,,,,,,,723783200893,,63.00 g,,
Finished/Sealed Wood,,,,,,,,Red / Stainless,,,,,,,Grease,,,,,,,,,,UNI-1061229,,,,,,,,,,,,091141403119,,63.27 g,,
Laminates,,,,,,,,Brushed Copper,,,,,,,Grime,,,,,,,,,,FRA-129-1231,,,,,,,,,,,,075353140956,,63.5 g,,
Metal,,,,,,,,Translucent Smoke,,,,,,,Mildew,,,,,,,,,,EAG-T2496SEM,,,,,,,,,,,,021709018400,,63.73 g,,
Plastic,,,,,,,,Comes in 13 elegant colors,,,,,,,Mineral Scale,,,,,,,,,,JOH-MBS03-W,,,,,,,,,,,,077511000515,,63.75 g,,
Sealed/Engineered Stone,,,,,,,,Yellow / White,,,,,,,Mold,,,,,,,,,,JOH-180-39,,,,,,,,,,,,048615960128,,63.85 g,,
Vinyl,,,,,,,,Bright White,,,,,,,Soap Scum,,,,,,,,,,PLY-48048WGD,,,,,,,,,,,,785990380416,,63.98 g,,
Aluminum,,,,,,,,Cassis,,,,,,,Water-Based Soil,,,,,,,,,,LAR-L-81186-32,,,,,,,,,,,,035349244365,,64.38 g,,
Metal,,,,,,,,Black + Silver,,,,,,,Bacteria,,,,,,,,,,MRS-STD296-2YI-SS,,,,,,,,,,,,011171041815,,64.71 g,,
Stainless Steel,,,,,,,,Grey,,,,,,,Germs,,,,,,,,,,DUK-416S-3024-5R,,,,,,,,,,,,042122000513,,64.88 g,,
Hard Non-Porous Surfaces,,,,,,,,Antique Walnut,,,,,,,Grime,,,,,,,,,,MRS-EP248-1ZG-OB,,,,,,,,,,,,030601520003,,64.92 g,,
Ceramics,,,,,,,,Pure White,,,,,,,Mildew,,,,,,,,,,ADV-TMS-248,,,,,,,,,,,,020648015815,,64.96 g,,
Enamel,,,,,,,,Navy to Burgundy,,,,,,,Mineral Scale,,,,,,,,,,INT-HDM1436W,,,,,,,,,,,,072504005010,,65.00 g,,
Fiberglass,,,,,,,,Metallic Copper,,,,,,,Mold,,,,,,,,,,IMP-ICBS-6036,,,,,,,,,,,,807174492064,,65.02 g,,
Grout,,,,,,,,Ted,,,,,,,Organic Matter,,,,,,,,,,ADV-VKG-2411,,,,,,,,,,,,051851470016,,65.26 g,,
Laminates,,,,,,,,Team Color,,,,,,,Soil,,,,,,,,,,ELK-WT24X96-STGX,,,,,,,,,,,,021196377516,,65.43 g,,
Metal,,,,,,,,White,,,,,,,Stains,,,,,,,,,,PER-TSF24IC10,,,,,,,,,,,,074031005112,,65.49 g,,
Plastic,,,,,,,,Blue,,,,,,,Fingerprint,,,,,,,,,,CAM-CSU48367480,,,,,,,,,,,,073310294162,,65.63 g,,
Vinyl,,,,,,,,Nashville Predators,,,,,,,Light Soils,,,,,,,,,,MIC-6603-C,,,,,,,,,,,,680651491169,,65.72 g,,
Glass,,,,,,,,20x20 Velvet,,,,,,,Smudge,,,,,,,,,,EAG-QPF-1848C-BL,,,,,,,,,,,,641817072370,,65.96 g,,
Plastic,,,,,,,,Woodgrain,,,,,,,Dust,,,,,,,,,,EAG-T2460EM-BS,,,,,,,,,,,,012544019080,,66.00 g,,
Vinyl,,,,,,,,Wild Cherry Red,,,,,,,Grease,,,,,,,,,,CAM-CP12110,,,,,,,,,,,,418517176307,,66.3 g,,
Glass,,,,,,,,Natural Polyester Rope and Taupe Pillows,,,,,,,Lint,,,,,,,,,,STA-11WLA-HS,,,,,,,,,,,,040706104510,,66.71 g,,
Machinery,,,,,,,,Walnut/Black,,,,,,,Liquid,,,,,,,,,,EAG-QPF-QA1872C-BL,,,,,,,,,,,,038944789125,,66.91 g,,
Asphalt,,,,,,,,Metalic Gold,,,,,,,Dust,,,,,,,,,,BAK-ER-1-12-3836,,,,,,,,,,,,074031101531,,67.88 g,,
Cement/Concrete,,,,,,,,Teal,,,,,,,Fingerprints,,,,,,,,,,ATS-W42-50-N,,,,,,,,,,,,036000078053,,67.95 g,,
Ceramic Tile,,,,,,,,Blush,,,,,,,Grease,,,,,,,,,,EAG-QPF-QA1830V-BL,,,,,,,,,,,,043859502660,,67.96 g,,
Laminates,,,,,,,,Salmon,,,,,,,Grime,,,,,,,,,,MRS-EP296-2EIN-BG,,,,,,,,,,,,073555960402,,68.38 g,,
Linoleum,,,,,,,,Assorted,,,,,,,Oil,,,,,,,,,,CAM-ADCS131,,,,,,,,,,,,030402176713,,68.42 g,,
Magnesite Tile,,,,,,,,Random Delivery,,,,,,,Organic Material,,,,,,,,,,MAR-5393B-58U-HB,,,,,,,,,,,,814840010170,,69.00 g,,
Quarry Tile,,,,,,,,Structure Blue,,,,,,,Smudges,,,,,,,,,,ALT-ED2-72-PR-SS,,,,,,,,,,,,717641897592,,69.12 g,,
Sheet Vinyl,,,,,,,,Pewter,,,,,,,Soil,,,,,,,,,,CAL-978-17,,,,,,,,,,,,095205224078,,69.28 g,,
Solid Vinyl Tile (SVT),,,,,,,,Granite Steel,,,,,,,Spills,,,,,,,,,,ADV-93-22-40-36L,,,,,,,,,,,,097591074084,,69.3 g,,
Stone,,,,,,,,Red & White,,,,,,,Food Debris,,,,,,,,,,MRS-PH10144-4WA-PW,,,,,,,,,,,,757037512449,,69.78 g,,
Terra Cotta,,,,,,,,Alabaster / Maple,,,,,,,Grease,,,,,,,,,,DUK-613Q-E3XX,,,,,,,,,,,,086876191448,,69.8 g,,
Terrazzo,,,,,,,,Silver/blk,,,,,,,Grime,,,,,,,,,,MRS-STD2144-4XI-SS,,,,,,,,,,,,749507128069,,69.88 g,,
Vinyl Composition Tile (VCT),,,,,,,,Newsprint,,,,,,,Organic Matter,,,,,,,,,,WCU-42503-10,,,,,,,,,,,,036000062113,,70.00 g,,
Ceramic Tile,,,,,,,,Black/Yellow,,,,,,,Spills,,,,,,,,,,EAG-1836VG63-5,,,,,,,,,,,,020459174510,,70.04 g,,
Glass,,,,,,,,Two Tone,,,,,,,Water-Based Soil,,,,,,,,,,DOR-16125BPQSR72,,,,,,,,,,,,073555359121,,70.68 g,,
Laminates,,,,,,,,Black Carrier,,,,,,,Dust,,,,,,,,,,JOH-OS09S,,,,,,,,,,,,073555961829,,70.71 g,,
Linoleum,,,,,,,,Wood0,,,,,,,Food Residue,,,,,,,,,,HOB-HL300-2STD,,,,,,,,,,,,073310261003,,71.00 g,,
Plastic,,,,,,,,Starfire Natural,,,,,,,Grease,,,,,,,,,,BON-9600H5099P,,,,,,,,,,,,035349529691,,71.01 g,,
Quarry Tile,,,,,,,,Black/Silver,,,,,,,Grime,,,,,,,,,,ADV-93-2-36-18RL,,,,,,,,,,,,614001247724,,71.08 g,,
Sealed Cement/Concrete,,,,,,,,0Transparent,,,,,,,Scuff Marks,,,,,,,,,,JOH-BHS1260PR16-304,,,,,,,,,,,,017000991344,,71.18 g,,
Sheet Vinyl,,,,,,,,Blue/Yellow,,,,,,,Soil,,,,,,,,,,ONE-F1600000145,,,,,,,,,,,,688482206310,,71.2 g,,
Solid Vinyl Tile (SVT),,,,,,,,Navy and Grey,,,,,,,Spills,,,,,,,,,,THU-SLSPR022S,,,,,,,,,,,,042976904296,,71.38 g,,
Terra Cotta,,,,,,,,Coffee Beige,,,,,,,Bacteria,,,,,,,,,,CHL-RIR-16,,,,,,,,,,,,074182260125,,71.49 g,,
Terrazzo,,,,,,,,Colorfu,,,,,,,Fungus,,,,,,,,,,JOH-GS6-2448SBK,,,,,,,,,,,,037000955320,,72.00 g,,
Vinyl Composition Tile (VCT),,,,,,,,Beech/White,,,,,,,Germs,,,,,,,,,,BER-ZPR1036S,,,,,,,,,,,,071503208361,,72.06 g,,
Asphalt,,,,,,,,Bright Colors,,,,,,,Mildew,,,,,,,,,,GRO-US376550,,,,,,,,,,,,071503285317,,72.3 g,,
Cement/Concrete,,,,,,,,Blue,,,,,,,Viruses,,,,,,,,,,ATS-ATWB3060-W,,,,,,,,,,,,738780107823,,72.76 g,,
Laminates,,,,,,,,Teal,,,,,,,Grease,,,,,,,,,,THU-5075TP,,,,,,,,,,,,712820735078,,72.82 g,,
Linoleum,,,,,,,,Plum,,,,,,,Oil,,,,,,,,,,BER-ASF2072A,,,,,,,,,,,,073852051025,,73.3 g,,
Quarry Tile,,,,,,,,Cream/Ivory,,,,,,,Water,,,,,,,,,,PLY-452060,,,,,,,,,,,,737025000554,,73.66 g,,
Sheet Vinyl,,,,,,,,Abstract Gray,,,,,,,Grease,,,,,,,,,,CAM-ESK2172S580,,,,,,,,,,,,023244916326,,73.71 g,,
Solid Vinyl Tile (SVT),,,,,,,,Charcoal/Teal,,,,,,,Grime,,,,,,,,,,VOL-0644SGN,,,,,,,,,,,,749507989509,,74.00 g,,
Terra Cotta,,,,,,,,Putty,,,,,,,Lubricants,,,,,,,,,,AFS-4002-SS,,,,,,,,,,,,071662550011,,74.01 g,,
Terrazzo,,,,,,,,Garnet,,,,,,,Oil-Based Soil,,,,,,,,,,ONE-T131KPSF,,,,,,,,,,,,819524010354,,74.1 g,,
Vinyl Composition Tile (VCT),,,,,,,,Scarlet,,,,,,,Pathogenic,,,,,,,,,,UPD-SPS-60,,,,,,,,,,,,023400039227,,74.26 g,,
Ceramic,,,,,,,,Clear Matte,,,,,,,Dust,,,,,,,,,,AME-ITP1238,,,,,,,,,,,,717641898698,,74.3 g,,
Fiberglass,,,,,,,,Tea Green,,,,,,,Grease,,,,,,,,,,GET-370-10-BL,,,,,,,,,,,,749507981541,,74.42 g,,
Grout,,,,,,,,True Natural,,,,,,,Grime,,,,,,,,,,CAM-CSA44486480,,,,,,,,,,,,037700703320,,74.55 g,,
Laminates,,,,,,,,Burgundy,,,,,,,Organic Matter,,,,,,,,,,APW-GCRB-36I,,,,,,,,,,,,042167392611,,74.9 g,,
Plastic,,,,,,,,Medium Gray,,,,,,,Soil,,,,,,,,,,CHL-519SP,,,,,,,,,,,,073555192940,,75.00 g,,
Polished Metal,,,,,,,,Black Anthracite,,,,,,,Bacteria,,,,,,,,,,CUR-50-72X96-D,,,,,,,,,,,,092926507008,,75.05 g,,
Sealed Stone,,,,,,,,Black & Ivory,,,,,,,Cold/Flu,,,,,,,,,,GET-OP-630-SL,,,,,,,,,,,,074506275330,,75.09 g,,
Vinyl,,,,,,,,Red,,,,,,,Dirt,,,,,,,,,,FOL-DEV1475SG-60-ICS,,,,,,,,,,,,075845079276,,75.3 g,,
Chrome,,,,,,,,Green,,,,,,,E. Coli,,,,,,,,,,AFP-K45SB,,,,,,,,,,,,760771403836,,75.56 g,,
Fiberglass,,,,,,,,Brown,,,,,,,Grease,,,,,,,,,,EAG-QPF-QA2154E-GL,,,,,,,,,,,,034238236184,,75.8 g,,
Glazed Ceramic Tile,,,,,,,,Black,,,,,,,Grime,,,,,,,,,,VER-AL-1-LS,,,,,,,,,,,,020335026575,,76.00 g,,
Glazed Porcelain,,,,,,,,Blush and White,,,,,,,Salmonella,,,,,,,,,,CAR-7111-403,,,,,,,,,,,,019800109790,,76.34 g,,
Plastic,,,,,,,,Dark Blue,,,,,,,Staph,,,,,,,,,,CUR-30-L-54X84-D,,,,,,,,,,,,083514870512,,76.58 g,,
Stainless Steel,,,,,,,,Green,,,,,,,Strep,,,,,,,,,,EAG-L42-1S,,,,,,,,,,,,749507981527,,76.6 g,,
Tiles,,,,,,,,Stainless Steel,,,,,,,Viruses,,,,,,,,,,EAG-FDI-16-19-8-1,,,,,,,,,,,,042122151505,,76.79 g,,
Vinyl,,,,,,,,Bay Leaf Brown,,,,,,,Dust,,,,,,,,,,ELK-SLWMS-16-36,,,,,,,,,,,,044357454512,,76.9 g,,
Ceramic,,,,,,,,Bone,,,,,,,Dust,,,,,,,,,,KRO-KR18-RC,,,,,,,,,,,,053200072742,,76.95 g,,
Glass,,,,,,,,Light Blue,,,,,,,Fingerprints,,,,,,,,,,EAG-T30144GTEM,,,,,,,,,,,,073310127989,,77.00 g,,
Metal,,,,,,,,Bone White,,,,,,,Fingerprint,,,,,,,,,,CAM-25S900110,,,,,,,,,,,,721810047169,,77.06 g,,
Plastic,,,,,,,,Dark Basketweave,,,,,,,Food Stain,,,,,,,,,,BLO-BPM-2FHT,,,,,,,,,,,,021709011746,,77.08 g,,
Porcelain,,,,,,,,Natural White,,,,,,,Grease,,,,,,,,,,BON-9172S,,,,,,,,,,,,042167305017,,77.12 g,,
Wood,,,,,,,,green,,,,,,,Grime,,,,,,,,,,FOO-10532,,,,,,,,,,,,848412011890,,77.68 g,,
Baked Enamel,,,,,,,,yellow,,,,,,,Soap Scum,,,,,,,,,,JOH-KCT2-10932-O,,,,,,,,,,,,020335049970,,77.73 g,,
Chrome,,,,,,,,White/Orange,,,,,,,Soil,,,,,,,,,,CAL-414-12-43,,,,,,,,,,,,086876224481,,78.00 g,,
Glazed Ceramic,,,,,,,,Expresso,,,,,,,Adhesive,,,,,,,,,,AFS-4016-SS,,,,,,,,,,,,074506508247,,78.04 g,,
Glazed Porcelain,,,,,,,,Orange,,,,,,,Caulk,,,,,,,,,,MRS-STD242-1UH-PW,,,,,,,,,,,,073555300024,,78.11 g,,
Hard,,,,,,,,Metallic,,,,,,,Dirt,,,,,,,,,,MAY-DLORIGLW2496,,,,,,,,,,,,073577190184,,78.46 g,,
Non-Porous Surfaces,,,,,,,,Galaxy,,,,,,,General Grime,,,,,,,,,,PSF-REV30RDMXICXBBA,,,,,,,,,,,,087547857007,,78.76 g,,
Laminated Surfaces,,,,,,,,Hansen Cherry,,,,,,,Grease,,,,,,,,,,TUX-B4X-035,,,,,,,,,,,,086876224559,,78.88 g,,
Painted Surfaces,,,,,,,,Sapphire Blue,,,,,,,Ink,,,,,,,,,,EAG-S5-74-2442C,,,,,,,,,,,,086876224573,,79.00 g,,
Plastic,,,,,,,,Transparent,,,,,,,Paint,,,,,,,,,,ONE-E3370000510,,,,,,,,,,,,048615970332,,79.32 g,,
Vinyl,,,,,,,,Red,,,,,,,Soil,,,,,,,,,,GLT-DBCB-30,,,,,,,,,,,,749507981749,,79.7 g,,
Ceramics,,,,,,,,Khaki and Ivory,,,,,,,Fingerprint,,,,,,,,,,RUB-FGFG1639SUPLSGN,,,,,,,,,,,,041594200902,,80.00 g,,
Enamel,,,,,,,,Red/Tan,,,,,,,Ink,,,,,,,,,,DUK-7122A-24120,,,,,,,,,,,,079841301225,,80.04 g,,
Fiberglass,,,,,,,,Steel Gray over Burgundy Metallic,,,,,,,Marker,,,,,,,,,,HAM-97500,,,,,,,,,,,,089192690756,,80.18 g,,
Laminates,,,,,,,,Hansen Cherry/Galaxy,,,,,,,Ribbon Ink,,,,,,,,,,EAG-24X24-RRDEDB16-4,,,,,,,,,,,,761475604482,,80.23 g,,
Metal,,,,,,,,Ash,,,,,,,Toner,,,,,,,,,,MAT-336332,,,,,,,,,,,,020459565493,,80.29 g,,
Plastic,,,,,,,,Bronze,,,,,,,Dirt,,,,,,,,,,DUK-A442-3W,,,,,,,,,,,,073310565019,,80.85 g,,
Sealed/Engineered Stone,,,,,,,,Lemon,,,,,,,Dust,,,,,,,,,,FOC-FF2424WRSS,,,,,,,,,,,,037000843818,,81.00 g,,
